Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2017,00:00,10,0.9,41.9,0.6,27.0,73.5,0.0,1001,18.3,
01/01/2017,01:00,357,0.7,46.4,0.6,26.7,72.3,0.0,1001,13.6,14
01/01/2017,02:00,355,0.5,50.6,0.5,26.3,72.2,0.0,1001,5.6,13
01/01/2017,03:00,360,0.5,179.8,0.5,26.0,73.2,0.0,1001,5.2,13
01/01/2017,04:00,5,0.5,55.0,0.6,25.4,75.6,0.0,1001,3.1,11
01/01/2017,05:00,356,0.9,41.0,0.6,25.4,76.2,0.0,1002,2.4,13
01/01/2017,06:00,350,0.6,58.1,0.6,26.8,70.4,0.0,1003,5.4,15
01/01/2017,07:00,342,1.0,44.0,0.9,28.4,64.0,0.0,1003,8.8,10
01/01/2017,08:00,351,1.3,42.0,0.9,29.7,58.1,0.0,1003,7.0,9
01/01/2017,09:00,349,1.1,48.7,0.9,31.4,52.1,0.0,1003,4.8,9
01/01/2017,10:00,3,1.3,47.0,0.9,32.7,47.2,0.0,1002,8.3,9
01/01/2017,11:00,20,1.8,37.9,1.1,32.4,53.9,0.0,1002,11.9,14
01/01/2017,12:00,10,2.4,179.6,1.3,31.7,55.7,0.0,1002,17.2,17
01/01/2017,13:00,9,2.7,180.8,1.3,31.0,58.3,0.0,1001,18.0,13
01/01/2017,14:00,10,2.9,177.6,1.4,30.2,62.8,0.0,1001,9.3,14
01/01/2017,15:00,15,2.9,31.4,1.3,29.5,67.3,0.0,1000,9.5,20
01/01/2017,16:00,17,2.5,33.9,1.3,28.9,72.3,0.0,1001,13.8,25
01/01/2017,17:00,11,2.7,179.0,1.2,28.1,75.9,0.0,1001,17.2,28
01/01/2017,18:00,11,2.4,180.6,1.3,27.5,79.0,0.0,1002,19.5,29
01/01/2017,19:00,8,2.7,178.4,1.3,27.3,77.8,0.0,1002,19.8,27
01/01/2017,20:00,7,2.5,27.6,1.1,27.1,77.4,0.0,1003,17.6,25
01/01/2017,21:00,7,1.9,34.9,1.1,27.1,77.7,0.0,1004,16.2,25
01/01/2017,22:00,7,1.9,31.0,1.0,26.9,78.6,0.0,1004,11.5,25
01/01/2017,23:00,5,1.8,31.1,1.0,26.8,78.3,0.0,1004,13.0,22
02/01/2017,00:00,13,1.8,180.0,1.0,26.6,78.2,0.0,1004,12.6,
02/01/2017,01:00,5,1.1,37.8,0.7,26.5,78.3,0.0,1003,9.7,17
02/01/2017,02:00,359,0.9,47.8,0.7,26.4,78.2,0.0,1003,8.8,19
02/01/2017,03:00,1,1.1,35.7,0.7,26.4,78.0,0.0,1003,8.4,19
02/01/2017,04:00,358,1.1,37.1,0.6,26.1,78.8,0.0,1003,8.8,19
02/01/2017,05:00,3,1.2,35.7,0.8,26.1,78.2,0.0,1004,8.6,18
02/01/2017,06:00,355,1.1,171.4,0.8,27.1,73.9,0.0,1004,12.6,19
02/01/2017,07:00,344,0.9,51.5,0.8,28.0,69.1,0.0,1004,14.3,18
02/01/2017,08:00,357,0.7,54.2,0.6,28.8,65.1,0.0,1004,15.3,16
02/01/2017,09:00,23,1.3,47.4,0.9,29.1,66.7,0.0,1004,13.4,18
02/01/2017,10:00,20,1.6,41.8,1.0,29.5,65.1,0.0,1004,17.1,18
02/01/2017,11:00,12,2.0,173.4,1.1,30.1,61.2,0.0,1003,15.6,15
02/01/2017,12:00,17,2.1,36.8,1.2,29.9,60.6,0.0,1003,12.4,13
02/01/2017,13:00,14,2.6,29.0,1.2,29.8,59.0,0.0,1002,9.2,11
02/01/2017,14:00,9,2.8,29.6,1.4,29.4,60.5,0.0,1001,10.8,12
02/01/2017,15:00,16,2.8,29.4,1.2,28.5,65.8,0.0,1001,11.3,15
02/01/2017,16:00,4,2.9,24.2,1.2,27.6,69.5,0.0,1001,12.3,16
02/01/2017,17:00,13,2.2,178.5,1.1,27.4,72.9,0.0,1002,13.3,19
02/01/2017,18:00,13,1.9,180.3,1.0,27.1,75.0,0.0,1003,14.4,20
02/01/2017,19:00,11,0.9,158.3,1.2,26.9,77.6,3.4,1004,14.5,22
